Title,"Percentage of first degree qualifiers obtaining each classification by sex, mode of study and country of HE provider",,,,,
2016/17,Full-time,All,All,First,95525,26%
2016/17,Full-time,All,All,Lower second,71290,20%
2016/17,Full-time,All,All,Third/Pass,14225,4%
2016/17,Full-time,All,All,Total classified,363350,
2016/17,Full-time,All,All,Upper second,182305,50%
2016/17,Full-time,All,England,First,81680,27%
2016/17,Full-time,All,England,Lower second,60045,20%
2016/17,Full-time,All,England,Third/Pass,12225,4%
2016/17,Full-time,All,England,Total classified,307540,
2016/17,Full-time,All,England,Upper second,153595,50%
2016/17,Full-time,All,Northern Ireland,First,2040,24%
2016/17,Full-time,All,Northern Ireland,Lower second,1755,20%
2016/17,Full-time,All,Northern Ireland,Third/Pass,205,2%
2016/17,Full-time,All,Northern Ireland,Total classified,8630,
2016/17,Full-time,All,Northern Ireland,Upper second,4630,54%
2016/17,Full-time,All,Scotland,First,6740,26%
2016/17,Full-time,All,Scotland,Lower second,4545,17%
2016/17,Full-time,All,Scotland,Third/Pass,845,3%
2016/17,Full-time,All,Scotland,Total classified,26275,
2016/17,Full-time,All,Scotland,Upper second,14145,54%
2016/17,Full-time,All,Wales,First,5070,24%
2016/17,Full-time,All,Wales,Lower second,4945,24%
2016/17,Full-time,All,Wales,Third/Pass,950,5%
2016/17,Full-time,All,Wales,Total classified,20905,
2016/17,Full-time,All,Wales,Upper second,9940,48%
2016/17,Full-time,Female,All,First,55365,27%
2016/17,Full-time,Female,All,Lower second,37290,18%
2016/17,Full-time,Female,All,Third/Pass,6890,3%
2016/17,Full-time,Female,All,Total classified,207205,
2016/17,Full-time,Female,All,Upper second,107660,52%
2016/17,Full-time,Female,England,First,47345,27%
2016/17,Full-time,Female,England,Lower second,31770,18%
2016/17,Full-time,Female,England,Third/Pass,6020,3%
2016/17,Full-time,Female,England,Total classified,175955,
2016/17,Full-time,Female,England,Upper second,90820,52%
2016/17,Full-time,Female,Northern Ireland,First,1210,25%
2016/17,Full-time,Female,Northern Ireland,Lower second,890,18%
2016/17,Full-time,Female,Northern Ireland,Third/Pass,75,1%
2016/17,Full-time,Female,Northern Ireland,Total classified,4900,
2016/17,Full-time,Female,Northern Ireland,Upper second,2730,56%
2016/17,Full-time,Female,Scotland,First,3850,26%
2016/17,Full-time,Female,Scotland,Lower second,2290,15%
2016/17,Full-time,Female,Scotland,Third/Pass,395,3%
2016/17,Full-time,Female,Scotland,Total classified,15045,
2016/17,Full-time,Female,Scotland,Upper second,8515,57%
2016/17,Full-time,Female,Wales,First,2960,26%
2016/17,Full-time,Female,Wales,Lower second,2340,21%
2016/17,Full-time,Female,Wales,Third/Pass,405,4%
2016/17,Full-time,Female,Wales,Total classified,11305,
2016/17,Full-time,Female,Wales,Upper second,5600,50%
2016/17,Full-time,Male,All,First,40130,26%
2016/17,Full-time,Male,All,Lower second,33985,22%
2016/17,Full-time,Male,All,Third/Pass,7335,5%
2016/17,Full-time,Male,All,Total classified,156050,
2016/17,Full-time,Male,All,Upper second,74595,48%
2016/17,Full-time,Male,England,First,34305,26%
2016/17,Full-time,Male,England,Lower second,28265,21%
2016/17,Full-time,Male,England,Third/Pass,6205,5%
2016/17,Full-time,Male,England,Total classified,131510,
2016/17,Full-time,Male,England,Upper second,62735,48%
2016/17,Full-time,Male,Northern Ireland,First,830,22%
2016/17,Full-time,Male,Northern Ireland,Lower second,865,23%
2016/17,Full-time,Male,Northern Ireland,Third/Pass,135,4%
2016/17,Full-time,Male,Northern Ireland,Total classified,3730,
2016/17,Full-time,Male,Northern Ireland,Upper second,1900,51%
2016/17,Full-time,Male,Scotland,First,2885,26%
2016/17,Full-time,Male,Scotland,Lower second,2255,20%
2016/17,Full-time,Male,Scotland,Third/Pass,455,4%
2016/17,Full-time,Male,Scotland,Total classified,11220,
2016/17,Full-time,Male,Scotland,Upper second,5625,50%
2016/17,Full-time,Male,Wales,First,2110,22%
2016/17,Full-time,Male,Wales,Lower second,2600,27%
2016/17,Full-time,Male,Wales,Third/Pass,545,6%
2016/17,Full-time,Male,Wales,Total classified,9585,
2016/17,Full-time,Male,Wales,Upper second,4335,45%
2016/17,Full-time,Other,All,First,35,35%
2016/17,Full-time,Other,All,Lower second,10,12%
2016/17,Full-time,Other,All,Third/Pass,5,3%
2016/17,Full-time,Other,All,Total classified,95,
2016/17,Full-time,Other,All,Upper second,50,51%
2016/17,Full-time,Other,England,First,25,36%
2016/17,Full-time,Other,England,Lower second,10,11%
2016/17,Full-time,Other,England,Third/Pass,0,1%
2016/17,Full-time,Other,England,Total classified,75,
2016/17,Full-time,Other,England,Upper second,40,51%
2016/17,Full-time,Other,Scotland,First,5,..
2016/17,Full-time,Other,Scotland,Lower second,0,..
2016/17,Full-time,Other,Scotland,Third/Pass,0,..
2016/17,Full-time,Other,Scotland,Total classified,10,
2016/17,Full-time,Other,Scotland,Upper second,5,..
2016/17,Full-time,Other,Wales,First,0,..
2016/17,Full-time,Other,Wales,Lower second,0,..
2016/17,Full-time,Other,Wales,Third/Pass,0,..
2016/17,Full-time,Other,Wales,Total classified,10,
2016/17,Full-time,Other,Wales,Upper second,5,..
2016/17,Part-time,All,All,First,5415,19%
2016/17,Part-time,All,All,Lower second,8225,29%
2016/17,Part-time,All,All,Third/Pass,4795,17%
2016/17,Part-time,All,All,Total classified,28525,
2016/17,Part-time,All,All,Upper second,10090,35%
2016/17,Part-time,All,England,First,4785,19%
2016/17,Part-time,All,England,Lower second,7330,29%
2016/17,Part-time,All,England,Third/Pass,4425,17%
2016/17,Part-time,All,England,Total classified,25320,
2016/17,Part-time,All,England,Upper second,8780,35%
2016/17,Part-time,All,Northern Ireland,First,150,18%
2016/17,Part-time,All,Northern Ireland,Lower second,215,26%
2016/17,Part-time,All,Northern Ireland,Third/Pass,75,9%
2016/17,Part-time,All,Northern Ireland,Total classified,820,
2016/17,Part-time,All,Northern Ireland,Upper second,385,47%
2016/17,Part-time,All,Scotland,First,220,17%
2016/17,Part-time,All,Scotland,Lower second,400,31%
2016/17,Part-time,All,Scotland,Third/Pass,170,13%
2016/17,Part-time,All,Scotland,Total classified,1290,
2016/17,Part-time,All,Scotland,Upper second,500,39%
2016/17,Part-time,All,Wales,First,260,24%
2016/17,Part-time,All,Wales,Lower second,280,26%
2016/17,Part-time,All,Wales,Third/Pass,130,12%
2016/17,Part-time,All,Wales,Total classified,1095,
2016/17,Part-time,All,Wales,Upper second,425,39%
2016/17,Part-time,Female,All,First,2855,17%
2016/17,Part-time,Female,All,Lower second,4895,30%
2016/17,Part-time,Female,All,Third/Pass,2775,17%
2016/17,Part-time,Female,All,Total classified,16440,
2016/17,Part-time,Female,All,Upper second,5920,36%
2016/17,Part-time,Female,England,First,2550,17%
2016/17,Part-time,Female,England,Lower second,4405,30%
2016/17,Part-time,Female,England,Third/Pass,2565,17%
2016/17,Part-time,Female,England,Total classified,14705,
2016/17,Part-time,Female,England,Upper second,5185,35%
2016/17,Part-time,Female,Northern Ireland,First,70,15%
2016/17,Part-time,Female,Northern Ireland,Lower second,125,28%
2016/17,Part-time,Female,Northern Ireland,Third/Pass,40,9%
2016/17,Part-time,Female,Northern Ireland,Total classified,455,
2016/17,Part-time,Female,Northern Ireland,Upper second,225,49%
2016/17,Part-time,Female,Scotland,First,115,16%
2016/17,Part-time,Female,Scotland,Lower second,215,30%
2016/17,Part-time,Female,Scotland,Third/Pass,100,14%
2016/17,Part-time,Female,Scotland,Total classified,715,
2016/17,Part-time,Female,Scotland,Upper second,290,40%
2016/17,Part-time,Female,Wales,First,120,22%
2016/17,Part-time,Female,Wales,Lower second,150,27%
2016/17,Part-time,Female,Wales,Third/Pass,70,12%
2016/17,Part-time,Female,Wales,Total classified,560,
2016/17,Part-time,Female,Wales,Upper second,225,40%
2016/17,Part-time,Male,All,First,2565,21%
2016/17,Part-time,Male,All,Lower second,3325,28%
2016/17,Part-time,Male,All,Third/Pass,2025,17%
2016/17,Part-time,Male,All,Total classified,12080,
2016/17,Part-time,Male,All,Upper second,4170,35%
2016/17,Part-time,Male,England,First,2235,21%
2016/17,Part-time,Male,England,Lower second,2920,28%
2016/17,Part-time,Male,England,Third/Pass,1860,18%
2016/17,Part-time,Male,England,Total classified,10610,
2016/17,Part-time,Male,England,Upper second,3595,34%
2016/17,Part-time,Male,Northern Ireland,First,80,22%
2016/17,Part-time,Male,Northern Ireland,Lower second,85,24%
2016/17,Part-time,Male,Northern Ireland,Third/Pass,35,10%
2016/17,Part-time,Male,Northern Ireland,Total classified,365,
2016/17,Part-time,Male,Northern Ireland,Upper second,160,45%
2016/17,Part-time,Male,Scotland,First,110,19%
2016/17,Part-time,Male,Scotland,Lower second,185,33%
2016/17,Part-time,Male,Scotland,Third/Pass,70,12%
2016/17,Part-time,Male,Scotland,Total classified,570,
2016/17,Part-time,Male,Scotland,Upper second,210,37%
2016/17,Part-time,Male,Wales,First,140,26%
2016/17,Part-time,Male,Wales,Lower second,130,25%
2016/17,Part-time,Male,Wales,Third/Pass,60,11%
2016/17,Part-time,Male,Wales,Total classified,535,
2016/17,Part-time,Male,Wales,Upper second,200,38%
2016/17,Part-time,Other,All,First,0,..
2016/17,Part-time,Other,All,Lower second,0,..
2016/17,Part-time,Other,All,Third/Pass,0,..
2016/17,Part-time,Other,All,Total classified,0,
2016/17,Part-time,Other,All,Upper second,0,..
2016/17,Part-time,Other,England,First,0,..
2016/17,Part-time,Other,England,Lower second,0,..
2016/17,Part-time,Other,England,Third/Pass,0,..
2016/17,Part-time,Other,England,Total classified,0,
2016/17,Part-time,Other,England,Upper second,0,..
2016/17,Part-time,Other,Wales,First,0,..
2016/17,Part-time,Other,Wales,Lower second,0,..
2016/17,Part-time,Other,Wales,Third/Pass,0,..
2016/17,Part-time,Other,Wales,Total classified,0,
2016/17,Part-time,Other,Wales,Upper second,0,..
2017/18,All,All,All,First,110475,28%
2017/18,All,All,All,Lower second,76210,19%
2017/18,All,All,All,Third/Pass,17830,4%
2017/18,All,All,All,Total classified,396940,
2017/18,All,All,All,Upper second,192425,48%
2017/18,All,All,England,First,94685,28%
2017/18,All,All,England,Lower second,65055,19%
2017/18,All,All,England,Third/Pass,15700,5%
2017/18,All,All,England,Total classified,338060,
2017/18,All,All,England,Upper second,162620,48%
2017/18,All,All,Northern Ireland,First,2450,28%
2017/18,All,All,Northern Ireland,Lower second,1660,19%
2017/18,All,All,Northern Ireland,Third/Pass,240,3%
2017/18,All,All,Northern Ireland,Total classified,8900,
2017/18,All,All,Northern Ireland,Upper second,4550,51%
2017/18,All,All,Scotland,First,7575,27%
2017/18,All,All,Scotland,Lower second,4740,17%
2017/18,All,All,Scotland,Third/Pass,945,3%
2017/18,All,All,Scotland,Total classified,28370,
2017/18,All,All,Scotland,Upper second,15115,53%
2017/18,All,All,Wales,First,5765,27%
2017/18,All,All,Wales,Lower second,4760,22%
2017/18,All,All,Wales,Third/Pass,945,4%
2017/18,All,All,Wales,Total classified,21610,
2017/18,All,All,Wales,Upper second,10140,47%
2017/18,All,Female,All,First,64415,28%
2017/18,All,Female,All,Lower second,40350,18%
2017/18,All,Female,All,Third/Pass,8885,4%
2017/18,All,Female,All,Total classified,227840,
2017/18,All,Female,All,Upper second,114190,50%
2017/18,All,Female,England,First,55320,28%
2017/18,All,Female,England,Lower second,34730,18%
2017/18,All,Female,England,Third/Pass,7890,4%
2017/18,All,Female,England,Total classified,194770,
2017/18,All,Female,England,Upper second,96830,50%
2017/18,All,Female,Northern Ireland,First,1435,28%
2017/18,All,Female,Northern Ireland,Lower second,870,17%
2017/18,All,Female,Northern Ireland,Third/Pass,95,2%
2017/18,All,Female,Northern Ireland,Total classified,5095,
2017/18,All,Female,Northern Ireland,Upper second,2690,53%
2017/18,All,Female,Scotland,First,4370,27%
2017/18,All,Female,Scotland,Lower second,2480,15%
2017/18,All,Female,Scotland,Third/Pass,470,3%
2017/18,All,Female,Scotland,Total classified,16280,
2017/18,All,Female,Scotland,Upper second,8955,55%
2017/18,All,Female,Wales,First,3290,28%
2017/18,All,Female,Wales,Lower second,2265,19%
2017/18,All,Female,Wales,Third/Pass,430,4%
2017/18,All,Female,Wales,Total classified,11695,
2017/18,All,Female,Wales,Upper second,5710,49%
2017/18,All,Male,All,First,46000,27%
2017/18,All,Male,All,Lower second,35835,21%
2017/18,All,Male,All,Third/Pass,8940,5%
2017/18,All,Male,All,Total classified,168920,
2017/18,All,Male,All,Upper second,78150,46%
2017/18,All,Male,England,First,39320,27%
2017/18,All,Male,England,Lower second,30305,21%
2017/18,All,Male,England,Third/Pass,7805,5%
2017/18,All,Male,England,Total classified,143155,
2017/18,All,Male,England,Upper second,65730,46%
2017/18,All,Male,Northern Ireland,First,1015,27%
2017/18,All,Male,Northern Ireland,Lower second,790,21%
2017/18,All,Male,Northern Ireland,Third/Pass,140,4%
2017/18,All,Male,Northern Ireland,Total classified,3805,
2017/18,All,Male,Northern Ireland,Upper second,1860,49%
2017/18,All,Male,Scotland,First,3195,26%
2017/18,All,Male,Scotland,Lower second,2255,19%
2017/18,All,Male,Scotland,Third/Pass,475,4%
2017/18,All,Male,Scotland,Total classified,12065,
2017/18,All,Male,Scotland,Upper second,6135,51%
2017/18,All,Male,Wales,First,2470,25%
2017/18,All,Male,Wales,Lower second,2490,25%
2017/18,All,Male,Wales,Third/Pass,515,5%
2017/18,All,Male,Wales,Total classified,9895,
2017/18,All,Male,Wales,Upper second,4420,45%
2017/18,All,Other,All,First,60,34%
2017/18,All,Other,All,Lower second,25,15%
2017/18,All,Other,All,Third/Pass,5,3%
2017/18,All,Other,All,Total classified,180,
2017/18,All,Other,All,Upper second,85,48%
2017/18,All,Other,England,First,45,35%
2017/18,All,Other,England,Lower second,20,17%
2017/18,All,Other,England,Third/Pass,5,4%
2017/18,All,Other,England,Total classified,130,
2017/18,All,Other,England,Upper second,60,45%
2017/18,All,Other,Scotland,First,5,25%
2017/18,All,Other,Scotland,Lower second,0,7%
2017/18,All,Other,Scotland,Third/Pass,0,0%
2017/18,All,Other,Scotland,Total classified,30,
2017/18,All,Other,Scotland,Upper second,20,68%
2017/18,All,Other,Wales,First,10,..
2017/18,All,Other,Wales,Lower second,0,..
2017/18,All,Other,Wales,Third/Pass,0,..
2017/18,All,Other,Wales,Total classified,20,
2017/18,All,Other,Wales,Upper second,10,..
2017/18,Full-time,All,All,First,105500,28%
2017/18,Full-time,All,All,Lower second,69105,19%
2017/18,Full-time,All,All,Third/Pass,13435,4%
2017/18,Full-time,All,All,Total classified,372190,
2017/18,Full-time,All,All,Upper second,184150,49%
2017/18,Full-time,All,England,First,90370,29%
2017/18,Full-time,All,England,Lower second,58760,19%
2017/18,Full-time,All,England,Third/Pass,11710,4%
2017/18,Full-time,All,England,Total classified,316265,
2017/18,Full-time,All,England,Upper second,155425,49%
2017/18,Full-time,All,Northern Ireland,First,2265,28%
2017/18,Full-time,All,Northern Ireland,Lower second,1450,18%
2017/18,Full-time,All,Northern Ireland,Third/Pass,160,2%
2017/18,Full-time,All,Northern Ireland,Total classified,8115,
2017/18,Full-time,All,Northern Ireland,Upper second,4235,52%
2017/18,Full-time,All,Scotland,First,7355,27%
2017/18,Full-time,All,Scotland,Lower second,4385,16%
2017/18,Full-time,All,Scotland,Third/Pass,755,3%
2017/18,Full-time,All,Scotland,Total classified,27190,
2017/18,Full-time,All,Scotland,Upper second,14695,54%
2017/18,Full-time,All,Wales,First,5500,27%
2017/18,Full-time,All,Wales,Lower second,4510,22%
2017/18,Full-time,All,Wales,Third/Pass,810,4%
2017/18,Full-time,All,Wales,Total classified,20620,
2017/18,Full-time,All,Wales,Upper second,9795,48%
2017/18,Full-time,Female,All,First,61875,29%
2017/18,Full-time,Female,All,Lower second,36220,17%
2017/18,Full-time,Female,All,Third/Pass,6360,3%
2017/18,Full-time,Female,All,Total classified,213920,
2017/18,Full-time,Female,All,Upper second,109465,51%
2017/18,Full-time,Female,England,First,53110,29%
2017/18,Full-time,Female,England,Lower second,31070,17%
2017/18,Full-time,Female,England,Third/Pass,5580,3%
2017/18,Full-time,Female,England,Total classified,182440,
2017/18,Full-time,Female,England,Upper second,92680,51%
2017/18,Full-time,Female,Northern Ireland,First,1340,29%
2017/18,Full-time,Female,Northern Ireland,Lower second,735,16%
2017/18,Full-time,Female,Northern Ireland,Third/Pass,60,1%
2017/18,Full-time,Female,Northern Ireland,Total classified,4645,
2017/18,Full-time,Female,Northern Ireland,Upper second,2510,54%
2017/18,Full-time,Female,Scotland,First,4260,27%
2017/18,Full-time,Female,Scotland,Lower second,2290,15%
2017/18,Full-time,Female,Scotland,Third/Pass,360,2%
2017/18,Full-time,Female,Scotland,Total classified,15645,
2017/18,Full-time,Female,Scotland,Upper second,8735,56%
2017/18,Full-time,Female,Wales,First,3165,28%
2017/18,Full-time,Female,Wales,Lower second,2125,19%
2017/18,Full-time,Female,Wales,Third/Pass,360,3%
2017/18,Full-time,Female,Wales,Total classified,11190,
2017/18,Full-time,Female,Wales,Upper second,5540,50%
2017/18,Full-time,Male,All,First,43565,28%
2017/18,Full-time,Male,All,Lower second,32860,21%
2017/18,Full-time,Male,All,Third/Pass,7075,4%
2017/18,Full-time,Male,All,Total classified,158100,
2017/18,Full-time,Male,All,Upper second,74600,47%
2017/18,Full-time,Male,England,First,37215,28%
2017/18,Full-time,Male,England,Lower second,27670,21%
2017/18,Full-time,Male,England,Third/Pass,6125,5%
2017/18,Full-time,Male,England,Total classified,133700,
2017/18,Full-time,Male,England,Upper second,62690,47%
2017/18,Full-time,Male,Northern Ireland,First,930,27%
2017/18,Full-time,Male,Northern Ireland,Lower second,715,21%
2017/18,Full-time,Male,Northern Ireland,Third/Pass,100,3%
2017/18,Full-time,Male,Northern Ireland,Total classified,3470,
2017/18,Full-time,Male,Northern Ireland,Upper second,1725,50%
2017/18,Full-time,Male,Scotland,First,3090,27%
2017/18,Full-time,Male,Scotland,Lower second,2090,18%
2017/18,Full-time,Male,Scotland,Third/Pass,400,3%
2017/18,Full-time,Male,Scotland,Total classified,11520,
2017/18,Full-time,Male,Scotland,Upper second,5940,52%
2017/18,Full-time,Male,Wales,First,2330,25%
2017/18,Full-time,Male,Wales,Lower second,2385,25%
2017/18,Full-time,Male,Wales,Third/Pass,450,5%
2017/18,Full-time,Male,Wales,Total classified,9410,
2017/18,Full-time,Male,Wales,Upper second,4245,45%
2017/18,Full-time,Other,All,First,60,34%
2017/18,Full-time,Other,All,Lower second,25,15%
2017/18,Full-time,Other,All,Third/Pass,5,2%
2017/18,Full-time,Other,All,Total classified,175,
2017/18,Full-time,Other,All,Upper second,85,49%
2017/18,Full-time,Other,England,First,45,34%
2017/18,Full-time,Other,England,Lower second,20,17%
2017/18,Full-time,Other,England,Third/Pass,5,3%
2017/18,Full-time,Other,England,Total classified,125,
2017/18,Full-time,Other,England,Upper second,55,45%
2017/18,Full-time,Other,Scotland,First,5,25%
2017/18,Full-time,Other,Scotland,Lower second,0,7%
2017/18,Full-time,Other,Scotland,Third/Pass,0,0%
2017/18,Full-time,Other,Scotland,Total classified,30,
2017/18,Full-time,Other,Scotland,Upper second,20,68%
2017/18,Full-time,Other,Wales,First,10,..
2017/18,Full-time,Other,Wales,Lower second,0,..
2017/18,Full-time,Other,Wales,Third/Pass,0,..
2017/18,Full-time,Other,Wales,Total classified,20,
2017/18,Full-time,Other,Wales,Upper second,10,..
2017/18,Part-time,All,All,First,4975,20%
2017/18,Part-time,All,All,Lower second,7105,29%
2017/18,Part-time,All,All,Third/Pass,4395,18%
2017/18,Part-time,All,All,Total classified,24745,
2017/18,Part-time,All,All,Upper second,8275,33%
2017/18,Part-time,All,England,First,4310,20%
2017/18,Part-time,All,England,Lower second,6290,29%
2017/18,Part-time,All,England,Third/Pass,3995,18%
2017/18,Part-time,All,England,Total classified,21795,
2017/18,Part-time,All,England,Upper second,7195,33%
2017/18,Part-time,All,Northern Ireland,First,180,23%
2017/18,Part-time,All,Northern Ireland,Lower second,210,27%
2017/18,Part-time,All,Northern Ireland,Third/Pass,75,10%
2017/18,Part-time,All,Northern Ireland,Total classified,785,
2017/18,Part-time,All,Northern Ireland,Upper second,315,40%
2017/18,Part-time,All,Scotland,First,215,18%
2017/18,Part-time,All,Scotland,Lower second,355,30%
2017/18,Part-time,All,Scotland,Third/Pass,190,16%
2017/18,Part-time,All,Scotland,Total classified,1180,
2017/18,Part-time,All,Scotland,Upper second,420,36%
2017/18,Part-time,All,Wales,First,265,27%
2017/18,Part-time,All,Wales,Lower second,250,25%
2017/18,Part-time,All,Wales,Third/Pass,135,14%
2017/18,Part-time,All,Wales,Total classified,990,
2017/18,Part-time,All,Wales,Upper second,340,35%
2017/18,Part-time,Female,All,First,2540,18%
2017/18,Part-time,Female,All,Lower second,4125,30%
2017/18,Part-time,Female,All,Third/Pass,2525,18%
2017/18,Part-time,Female,All,Total classified,13920,
2017/18,Part-time,Female,All,Upper second,4725,34%
2017/18,Part-time,Female,England,First,2210,18%
2017/18,Part-time,Female,England,Lower second,3660,30%
2017/18,Part-time,Female,England,Third/Pass,2310,19%
2017/18,Part-time,Female,England,Total classified,12330,
2017/18,Part-time,Female,England,Upper second,4155,34%
2017/18,Part-time,Female,Northern Ireland,First,95,22%
2017/18,Part-time,Female,Northern Ireland,Lower second,135,30%
2017/18,Part-time,Female,Northern Ireland,Third/Pass,35,8%
2017/18,Part-time,Female,Northern Ireland,Total classified,450,
2017/18,Part-time,Female,Northern Ireland,Upper second,180,40%
2017/18,Part-time,Female,Scotland,First,110,17%
2017/18,Part-time,Female,Scotland,Lower second,190,30%
2017/18,Part-time,Female,Scotland,Third/Pass,110,17%
2017/18,Part-time,Female,Scotland,Total classified,635,
2017/18,Part-time,Female,Scotland,Upper second,225,35%
2017/18,Part-time,Female,Wales,First,125,25%
2017/18,Part-time,Female,Wales,Lower second,140,28%
2017/18,Part-time,Female,Wales,Third/Pass,70,14%
2017/18,Part-time,Female,Wales,Total classified,505,
2017/18,Part-time,Female,Wales,Upper second,170,34%
2017/18,Part-time,Male,All,First,2435,22%
2017/18,Part-time,Male,All,Lower second,2975,28%
2017/18,Part-time,Male,All,Third/Pass,1865,17%
2017/18,Part-time,Male,All,Total classified,10825,
2017/18,Part-time,Male,All,Upper second,3545,33%
2017/18,Part-time,Male,England,First,2100,22%
2017/18,Part-time,Male,England,Lower second,2635,28%
2017/18,Part-time,Male,England,Third/Pass,1680,18%
2017/18,Part-time,Male,England,Total classified,9460,
2017/18,Part-time,Male,England,Upper second,3040,32%
2017/18,Part-time,Male,Northern Ireland,First,85,25%
2017/18,Part-time,Male,Northern Ireland,Lower second,75,22%
2017/18,Part-time,Male,Northern Ireland,Third/Pass,40,12%
2017/18,Part-time,Male,Northern Ireland,Total classified,335,
2017/18,Part-time,Male,Northern Ireland,Upper second,135,41%
2017/18,Part-time,Male,Scotland,First,110,20%
2017/18,Part-time,Male,Scotland,Lower second,165,30%
2017/18,Part-time,Male,Scotland,Third/Pass,80,14%
2017/18,Part-time,Male,Scotland,Total classified,545,
2017/18,Part-time,Male,Scotland,Upper second,195,36%
2017/18,Part-time,Male,Wales,First,140,29%
2017/18,Part-time,Male,Wales,Lower second,110,22%
2017/18,Part-time,Male,Wales,Third/Pass,65,14%
2017/18,Part-time,Male,Wales,Total classified,485,
2017/18,Part-time,Male,Wales,Upper second,170,35%
2017/18,Part-time,Other,All,First,0,..
2017/18,Part-time,Other,All,Lower second,0,..
2017/18,Part-time,Other,All,Third/Pass,0,..
2017/18,Part-time,Other,All,Total classified,5,
2017/18,Part-time,Other,All,Upper second,0,..
2017/18,Part-time,Other,England,First,0,..
2017/18,Part-time,Other,England,Lower second,0,..
2017/18,Part-time,Other,England,Third/Pass,0,..
2017/18,Part-time,Other,England,Total classified,5,
2017/18,Part-time,Other,England,Upper second,0,..
